Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
895.3088745,1168.458874,2.165043506,6.624537282,8678.88,4008.64,605.12,1272.268861
895.3088745,1168.458874,2.190855653,6.690299799,8467.92,3865.12,577.72,1262.49714
895.3088745,1168.458874,2.23357955,6.518248175,8297.48,3714.88,569.92,1246.662774
895.3088745,1168.458874,2.181629109,6.520383626,10174.9,4663.9,715.28,1265.971538
895.3088745,1168.458874,2.19977851,6.625373262,6833.04,3106.24,468.84,1259.156138
895.3088745,1168.458874,2.203558272,6.752782392,7166.28,3252.14,481.6,1257.74642
895.3088745,1168.458874,2.210099747,6.618036586,7068.12,3198.1,483.24,1255.314359
895.3088745,1168.458874,2.250724256,6.57127124,7520.48,3341.36,508.48,1240.419619
895.3088745,1168.458874,2.236389942,6.646507192,7481.44,3345.32,503.32,1245.635189
895.3088745,1168.458874,2.159515109,6.504554512,7895.36,3656.08,562.08,1274.383074
895.3088745,1168.458874,2.193756576,6.6492937,8715.4,3972.82,597.48,1261.408909
895.3088745,1168.458874,2.185323849,6.663155706,8405.28,3846.24,577.24,1264.577796
895.3088745,1168.458874,2.259268205,6.499755791,8418.44,3726.18,573.28,1237.330805
895.3088745,1168.458874,2.187333757,6.472260787,10197,4661.84,720.28,1263.820979
895.3088745,1168.458874,2.234230691,6.681698737,7044.44,3152.96,471.88,1246.424544
895.3088745,1168.458874,2.20720204,6.486151302,6926.2,3138,483.8,1256.390507
895.3088745,1168.458874,2.207855359,6.712472357,6701.68,3035.38,452.2,1256.147712
927.3755732,1200.525573,2.108059787,6.463636364,8843.1,4194.9,649,1294.447115
927.3755732,1200.525573,2.126264573,6.535894207,8827.4,4151.6,635.2,1287.266235
927.3755732,1200.525573,2.1596064,6.528028625,8274.1,3831.3,586.9,1274.348099
927.3755732,1200.525573,2.158339415,6.585212569,7689.3,3562.6,541,1274.833688
927.3755732,1200.525573,2.14506051,6.457421958,6522.7,3040.8,470.9,1279.947803
927.3755732,1200.525573,2.131042702,6.4956571,7331,3440.1,529.6,1285.396775
927.3755732,1200.525573,2.116816083,6.275803279,10129.6,4785.3,762.5,1290.981549
927.3755732,1200.525573,2.179748247,6.240798389,7428.8,3408.1,546.1,1266.682302
927.3755732,1200.525573,2.195348983,6.416046652,7004.7,3190.7,497.3,1260.81238
927.3755732,1200.525573,2.190913208,6.340926493,7257.4,3312.5,522.4,1262.47553
927.3755732,1200.525573,2.168598226,6.62741784,7653.2,3529.1,532.5,1270.913482
927.3755732,1200.525573,2.112708137,6.438975051,8069.7,3819.6,593.2,1292.604674
927.3755732,1200.525573,2.10930594,6.413019779,8685.7,4117.8,642.1,1293.952577
927.3755732,1200.525573,2.101325449,6.432070911,8386.6,3991.1,620.5,1297.127421
927.3755732,1200.525573,2.109101869,6.386617782,7347.9,3483.9,545.5,1294.033532
927.3755732,1200.525573,2.211172928,6.551897617,8207.1,3711.65,566.5,1254.91628
927.3755732,1200.525573,2.084148074,6.356972112,9976.4,4786.8,753,1304.024799
927.3755732,1200.525573,2.169794726,6.516514474,7277.6,3354.05,514.7,1270.457975
927.3755732,1200.525573,2.16941288,6.609693306,6405.3,2952.55,446.7,1270.603305
927.3755732,1200.525573,2.167810626,6.431332949,7248.4,3343.65,519.9,1271.213515
987.4153495,1260.56535,2.016154203,6.20050434,10658.5,5286.55,852.6,1332.254632
987.4153495,1260.56535,2.028166862,6.246004294,10620.8,5236.65,838.4,1327.152282
987.4153495,1260.56535,1.977600057,6.118555008,11053.4,5589.3,913.5,1348.9977
987.4153495,1260.56535,1.988038784,6.150646487,12199.6,6136.5,997.7,1344.407019
987.4153495,1260.56535,1.973976816,6.139928986,11264.4,5706.45,929.4,1350.601482
987.4153495,1260.56535,2.041518602,6.157314736,11806,5782.95,939.2,1321.541258
987.4153495,1260.56535,1.963942575,6.069209294,13235.5,6739.25,1110.4,1355.071573
987.4153495,1260.56535,1.982954936,6.151363417,10109.6,5098.25,828.8,1346.637268
987.4153495,1260.56535,2.021163089,6.270500859,10324,5107.95,814.6,1330.120777
987.4153495,1260.56535,2.006839873,6.100333804,9535.6,4751.55,778.9,1336.247269
987.4153495,1260.56535,2.007899584,6.229859222,10573.8,5266.1,845.3,1335.791385
