Ref Temp [C],Ref Temp [K],R/G,G/B,Ravg,Gavg,Bavg,Pred Temp [K]
987.4153495,1260.56535,2.28526076,6.104142012,9429.9,4126.4,676,1274.680205
987.4153495,1260.56535,2.313414802,6.196188532,8424.3,3641.5,587.7,1260.424467
987.4153495,1260.56535,2.338214295,6.131327603,9006.1,3851.7,628.2,1248.148209
987.4153495,1260.56535,2.29430542,6.120650314,9846.7,4291.8,701.2,1270.06293
987.4153495,1260.56535,2.282357553,6.25245098,9897.9,4336.7,693.6,1276.16989
987.4153495,1260.56535,2.335648148,6.192847442,9585.5,4104,662.7,1249.406523
987.4153495,1260.56535,2.343895453,6.093501636,9165.1,3910.2,641.7,1245.372163
1063.199997,1336.349997,2.176525822,6.211253915,12517.2,5751,925.9,1333.078632
1063.199997,1336.349997,2.176271478,6.124381774,12665.9,5820,950.3,1333.221669
1063.199997,1336.349997,2.163047988,6.173087184,12512.8,5784.8,937.1,1340.700783
1063.199997,1336.349997,2.157644183,6.221037104,11829.5,5482.6,881.3,1343.781255
1063.199997,1336.349997,2.165138575,6.248790059,10343.3,4777.2,764.5,1339.512794
1063.199997,1336.349997,2.161138382,6.254176072,11975.3,5541.2,886,1341.787761
1063.199997,1336.349997,2.19596021,6.127384346,12274.1,5589.4,912.2,1322.239826
1063.199997,1336.349997,2.204973738,6.121110855,11712.6,5311.9,867.8,1317.273231
1063.199997,1336.349997,2.172361885,6.195383539,11544.8,5314.4,857.8,1335.424211
1063.199997,1336.349997,2.212455626,6.105064782,11467.6,5183.2,849,1313.179419
1094.384176,1367.534176,2.069366898,6.167337898,12675.7,6125.4,993.2,1396.135444
1094.384176,1367.534176,2.114747077,6.091111111,13332,6304.3,1035,1368.738381
1094.384176,1367.534176,2.053781983,6.218218702,13220.4,6437.1,1035.2,1405.786972
1094.384176,1367.534176,2.092576565,6.085283095,12572.2,6008,987.3,1381.993281
1094.384176,1367.534176,2.090337104,6.071132519,11329,5419.7,892.7,1383.345897
1094.384176,1367.534176,2.120102329,6.12599237,12596.8,5941.6,969.9,1365.57342
1094.384176,1367.534176,2.074829706,6.138671279,12518.9,6033.7,982.9,1392.782085
1094.384176,1367.534176,2.137750917,6.075162734,12769,5973.1,983.2,1355.243152
1094.384176,1367.534176,2.08118196,6.154418803,12043.8,5787,940.3,1388.901958
1094.384176,1367.534176,2.13378627,6.047697731,11714.7,5490.1,907.8,1357.550471
1168.064441,1441.214441,1.94495574,6.173452361,14391.7,7399.5,1198.6,1476.837151
1168.064441,1441.214441,1.967413763,6.147305284,13711.3,6969.2,1133.7,1461.630227
